,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1304,leviana,léo magalhães,3Gb6tD5PbkbKcwK6XY3zCh,0.624,0.843,5,-3.956,1,0.0274,0.157,0.0,0.338,0.808,142.097,audio_features,spotify:track:3Gb6tD5PbkbKcwK6XY3zCh,https://api.spotify.com/v1/tracks/3Gb6tD5PbkbKcwK6XY3zCh,https://api.spotify.com/v1/audio-analysis/3Gb6tD5PbkbKcwK6XY3zCh,207125,4
1305,yolumuz gurbete düştü,cem karaca,3PydQylzb5E2XDLQS0UIbf,0.584,0.902,9,-6.129,1,0.0731,0.00477,1.52e-05,0.18,0.636,113.984,audio_features,spotify:track:3PydQylzb5E2XDLQS0UIbf,https://api.spotify.com/v1/tracks/3PydQylzb5E2XDLQS0UIbf,https://api.spotify.com/v1/audio-analysis/3PydQylzb5E2XDLQS0UIbf,357642,4
1306,sittinginthecar,surrenderdorothy,1biGLgU3ws2Z9S4iCMLoDx,0.675,0.362,2,-13.254,1,0.0299,0.000506,0.43,0.134,0.383,116.98,audio_features,spotify:track:1biGLgU3ws2Z9S4iCMLoDx,https://api.spotify.com/v1/tracks/1biGLgU3ws2Z9S4iCMLoDx,https://api.spotify.com/v1/audio-analysis/1biGLgU3ws2Z9S4iCMLoDx,86227,4
1307,tapf naar tapf - hoempa mix,immer hansi,4YlGGl6whK8pEw9fyZrA8n,0.867,0.834,11,-4.068,0,0.125,0.0375,2.29e-06,0.072,0.927,130.036,audio_features,spotify:track:4YlGGl6whK8pEw9fyZrA8n,https://api.spotify.com/v1/tracks/4YlGGl6whK8pEw9fyZrA8n,https://api.spotify.com/v1/audio-analysis/4YlGGl6whK8pEw9fyZrA8n,179000,4
1308,anchor,novo amor,7qH9Z4dJEN0l9bidizW7fq,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,audio_features,spotify:track:7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/tracks/7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/audio-analysis/7qH9Z4dJEN0l9bidizW7fq,257533,4
1309,mars,julian jeweil,2stYEICPpP84tNkhVBUobN,0.683,0.936,4,-6.382,0,0.0557,0.000181,0.656,0.155,0.0372,124.998,audio_features,spotify:track:2stYEICPpP84tNkhVBUobN,https://api.spotify.com/v1/tracks/2stYEICPpP84tNkhVBUobN,https://api.spotify.com/v1/audio-analysis/2stYEICPpP84tNkhVBUobN,360860,4
1310,f33lin6 24k,baseck,1jRNRvendkgjWs4XIt498m,0.453,0.942,9,-5.992,0,0.157,0.00034,0.841,0.112,0.101,176.947,audio_features,spotify:track:1jRNRvendkgjWs4XIt498m,https://api.spotify.com/v1/tracks/1jRNRvendkgjWs4XIt498m,https://api.spotify.com/v1/audio-analysis/1jRNRvendkgjWs4XIt498m,261695,4
1311,paloma del alma mía,dúo ayacucho,1DqG3zu1rXx33W36RAcZus,0.54,0.509,9,-4.286,0,0.0316,0.754,0.0,0.131,0.307,69.424,audio_features,spotify:track:1DqG3zu1rXx33W36RAcZus,https://api.spotify.com/v1/tracks/1DqG3zu1rXx33W36RAcZus,https://api.spotify.com/v1/audio-analysis/1DqG3zu1rXx33W36RAcZus,296565,5
1312,облетели цветы (flowers fly round),konstantin pluzhnikov,4zr8pZBqamXGPv7OwFo1Q2,0.437,0.136,1,-16.158,0,0.0363,0.892,2.15e-05,0.104,0.247,79.447,audio_features,spotify:track:4zr8pZBqamXGPv7OwFo1Q2,https://api.spotify.com/v1/tracks/4zr8pZBqamXGPv7OwFo1Q2,https://api.spotify.com/v1/audio-analysis/4zr8pZBqamXGPv7OwFo1Q2,129720,4
1313,staples is exhausting,andrew norelli,7jqvcYngHXrodUO8P8fbHZ,0.545,0.697,5,-13.205,0,0.859,0.821,0.0,0.874,0.493,87.403,audio_features,spotify:track:7jqvcYngHXrodUO8P8fbHZ,https://api.spotify.com/v1/tracks/7jqvcYngHXrodUO8P8fbHZ,https://api.spotify.com/v1/audio-analysis/7jqvcYngHXrodUO8P8fbHZ,311680,4
